LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
B2	perceive	verb	psychology	воспринимать	To become aware of something through the senses or the mind.	The way we perceive events is shaped by our past experiences.
B2	behaviour	noun	psychology	поведение	The way a person or animal acts in a particular situation.	His behaviour at the meeting shocked his colleagues.
B2	conscious	adjective	psychology	осознанный	Aware of something and deliberately doing it.	She made a conscious effort to arrive on time.
B2	motivation	noun	psychology	мотивация	The reason why you do or want to do something.	His main motivation for learning the language was to communicate with his family.
B2	influence	verb	psychology	влиять	To have an effect on the way someone thinks or acts.	Her mentor influenced her decision to pursue a career in medicine.
B2	emotion	noun	psychology	эмоция	A strong feeling such as love, fear, or anger.	The film was so powerful that it stirred deep emotions in the audience.
B2	identity	noun	psychology	идентичность	Your sense of who you are and what defines you.	Living abroad can change your sense of personal identity.
B2	attitude	noun	psychology	отношение/установка	The way you think or feel about something.	Her positive attitude made her pleasant to work with.
B2	broadcast	verb	media	транслировать	To send out a radio or television programme.	The match was broadcast live on national television.
B2	publish	verb	media	публиковать	To make information available to the public in print or online.	The newspaper published a story about corruption in local government.
B2	media	noun	media	СМИ	The various means of communication such as TV, newspapers, and the internet.	Social media has changed how people consume news.
B2	journalist	noun	media	журналист	A person who writes or reports news for media.	The journalist interviewed the minister about the new budget.
B2	audience	noun	media	аудитория	The group of people who watch, read, or listen to something.	The documentary attracted a large audience on its first night.
B2	bias	noun	media	предвзятость	An unfair preference for one thing over another.	The report was criticised for its political bias.
B2	censorship	noun	media	цензура	The practice of suppressing material considered unacceptable.	Many journalists campaigned against censorship of the press.
B2	opinion	noun	media	мнение	A personal judgement or view about something.	The newspaper published a range of opinions on the controversial issue.
B2	coverage	noun	media	освещение (в СМИ)	The amount of attention given to an event by news media.	The election received extensive coverage across all major channels.
B2	investigation	noun	media	расследование	A careful examination of facts to discover the truth.	The newspaper launched an investigation into the politician's finances.
B2	welfare	noun	social_issues	благосостояние	The health, happiness, and general well-being of a person.	The charity works to improve the welfare of homeless people.
B2	immigration	noun	social_issues	иммиграция	The act of coming to live permanently in a foreign country.	Immigration has shaped the culture and economy of many nations.
B2	minority	noun	social_issues	меньшинство	A smaller group of people within a larger group.	The law was designed to protect the rights of ethnic minorities.
B2	discrimination	noun	social_issues	дискриминация	Treating people unfairly because of their race, sex, or religion.	She filed a complaint about discrimination at work.
B2	unemployment	noun	social_issues	безработица	The state of not having a paid job.	Youth unemployment is a serious problem in many European countries.
B2	racism	noun	social_issues	расизм	The belief that one race is superior to others; unfair treatment based on race.	The organisation fights racism and promotes equality in education.
B2	tolerance	noun	social_issues	терпимость	The willingness to accept views or behaviour different from your own.	Building tolerance between different communities takes time and effort.
B2	homeless	adjective	social_issues	бездомный	Without a permanent place to live.	The city opened three new shelters for homeless people this winter.
B2	charity	noun	social_issues	благотворительность	An organisation that raises money to help people in need.	She volunteers twice a week for a local charity.
B2	volunteer	noun	social_issues	доброволец	A person who does work without being paid.	A group of volunteers cleaned up the park on Saturday morning.
B2	capable	adjective	personal	способный	Having the ability or skill to do something.	She is more than capable of handling the project on her own.
B2	determined	adjective	personal	решительный	Having a strong intention to do something.	He was determined to finish the marathon despite the pain.
B2	ambitious	adjective	personal	амбициозный	Having a strong desire to succeed.	She was ambitious from an early age and always set high goals.
B2	independent	adjective	personal	независимый	Not relying on others for support or guidance.	She became financially independent after starting her own business.
B2	flexible	adjective	personal	гибкий	Willing and able to change according to different situations.	You need to be flexible when working in a constantly changing environment.
B2	reliable	adjective	personal	надёжный	Always doing what you say you will do; able to be trusted.	She is the most reliable person on the team and never misses a deadline.
B2	creative	adjective	personal	творческий	Producing original ideas and using imagination.	The campaign needed someone creative to design the poster.
B2	curious	adjective	personal	любопытный	Eager to know about or understand something.	He was curious about the strange noise coming from the attic.
B2	pessimistic	adjective	personal	пессимистичный	Thinking that bad things are likely to happen.	She was pessimistic about her chances of passing the exam.
B2	optimistic	adjective	personal	оптимистичный	Thinking that good things are likely to happen.	Despite the setbacks, he remained optimistic about the future.
B2	circumstance	noun	abstract	обстоятельство	A fact or condition that affects a situation.	Under the circumstances, she made the best decision she could.
B2	phenomenon	noun	abstract	явление	A fact or event that is interesting or unusual.	The northern lights are a natural phenomenon visible in polar regions.
B2	perspective	noun	abstract	точка зрения	A particular way of thinking about something.	Studying abroad gave her a fresh perspective on her own culture.
B2	principle	noun	abstract	принцип	A basic truth or rule that guides behaviour or thinking.	He refused to compromise on his principles.
B2	issue	noun	abstract	проблема/вопрос	An important topic or problem that people discuss or disagree about.	Homelessness is an issue that affects many cities around the world.
B2	potential	noun	abstract	потенциал	The possibility of developing into something in the future.	The teacher saw great potential in the student and encouraged her.
B2	complex	adjective	abstract	сложный	Made of many connected parts; difficult to understand.	The situation is more complex than it might appear at first glance.
B2	abstract	adjective	abstract	абстрактный	Existing as an idea rather than as a physical thing.	The artist is known for her beautiful abstract paintings.
B2	fundamental	adjective	abstract	фундаментальный	Of central importance; essential.	Access to clean water is a fundamental human right.
B2	inevitable	adjective	abstract	неизбежный	Certain to happen and impossible to avoid.	Change is inevitable, so it is better to embrace it.
B2	heritage	noun	culture	наследие	Traditions, buildings, and beliefs passed down from earlier generations.	The old city is protected as a site of cultural heritage.
B2	tradition	noun	culture	традиция	A custom or belief that has existed for a long time.	The festival celebrates a tradition that is hundreds of years old.
B2	ceremony	noun	culture	церемония	A formal event with special actions and words.	The graduation ceremony took place in the university's main hall.
B2	artifact	noun	culture	артефакт	An object made by a person, especially one with historical interest.	The museum displays artifacts from ancient Egypt.
B2	mythology	noun	culture	мифология	A collection of traditional stories of a culture.	Greek mythology is full of stories about gods and heroes.
B2	philosophy	noun	culture	философия	The study of fundamental questions about existence and knowledge.	His philosophy of life was based on simplicity and gratitude.
B2	religion	noun	culture	религия	A set of beliefs about the meaning of life and worship of a god.	Freedom of religion is protected by the constitution.
B2	symbol	noun	culture	символ	A sign or object that represents something else.	The dove is a universal symbol of peace.
B2	influence	noun	culture	влияние	The effect that someone or something has on another.	The influence of jazz on modern music cannot be overstated.
B2	ethnic	adjective	culture	этнический	Relating to a group of people who share a culture or nationality.	The neighbourhood is home to many different ethnic communities.
B2	controversial	adjective	social_advanced	спорный	Causing disagreement or strong opposing opinions.	The new law was highly controversial and sparked widespread protests.
B2	profound	adjective	social_advanced	глубокий/значительный	Very great or intense; showing deep understanding.	The death of her father had a profound effect on her outlook on life.
B2	widespread	adjective	social_advanced	широко распространённый	Found or happening over a large area or among many people.	There was widespread concern about the safety of the new vaccine.
B2	substantial	adjective	social_advanced	существенный	Large in size, value, or importance.	She received a substantial pay rise after her promotion.
B2	devastating	adjective	social_advanced	опустошительный	Causing severe damage or great distress.	The flooding had a devastating effect on the farming communities.
B2	adequate	adjective	social_advanced	достаточный	Enough or satisfactory for a particular purpose.	The facilities were barely adequate for the number of students.
B2	coherent	adjective	social_advanced	последовательный	Logical and consistent; easy to understand.	She presented a coherent plan for reducing costs in the department.
B2	overwhelming	adjective	social_advanced	подавляющий	Very large or intense; impossible to resist.	There was overwhelming support for the new policy across all age groups.
B2	prevalent	adjective	social_advanced	распространённый	Existing or very common at a particular time.	Obesity has become prevalent in many developed countries.
B2	acknowledge	verb	communication	признавать	To accept or admit the truth of something.	She acknowledged that mistakes had been made in the planning process.
B2	emphasise	verb	communication	подчёркивать	To make something seem particularly important or worthy of attention.	The report emphasised the need for immediate action on climate change.
B2	contradict	verb	communication	противоречить	To say something that is opposite to what someone else said.	The new witness contradicted the official version of events.
B2	clarify	verb	communication	прояснять	To make something easier to understand by explaining it more fully.	She asked the teacher to clarify the instructions for the assignment.
B2	convey	verb	communication	передавать	To communicate a message or feeling to someone.	The painting conveys a sense of loneliness and isolation.
B2	imply	verb	communication	подразумевать	To suggest something without saying it directly.	His silence implied that he disagreed with the decision.
B2	criticise	verb	communication	критиковать	To say that you disapprove of someone or something.	She was criticised for making the decision without consulting others.
B2	justify	verb	communication	обосновывать	To give a satisfactory reason for something.	She struggled to justify the extra expense to her manager.
B2	hedge	verb	communication	уклоняться/делать оговорки	To avoid making a clear or direct statement.	Politicians often hedge when asked about difficult policy decisions.
B2	speculate	verb	communication	предполагать/рассуждать	To form opinions without knowing all the facts.	Journalists began to speculate about who would replace the manager.
B2	manipulate	verb	behaviour	манипулировать	To control or influence someone or something cleverly or unfairly.	He manipulated the data to make the results look more positive.
B2	deceive	verb	behaviour	обманывать	To make someone believe something that is not true.	She felt deceived when she found out he had been lying for months.
B2	resist	verb	behaviour	сопротивляться	To refuse to accept or comply with something.	He found it hard to resist the temptation to eat the cake.
B2	adapt	verb	behaviour	адаптироваться	To change your behaviour to suit a new situation.	She quickly adapted to life in a new country and made many friends.
B2	persist	verb	behaviour	настаивать/продолжать	To continue doing something despite difficulty or opposition.	She persisted with her training even when she felt like giving up.
B2	contribute	verb	behaviour	вносить вклад	To give something to help achieve a result.	Every member of the team contributed ideas for the new project.
B2	rationalise	verb	behaviour	рационализировать	To invent a logical reason for behaviour that was actually done for other reasons.	He rationalised his decision by claiming he had no other choice.
B2	neglect	verb	behaviour	пренебрегать	To fail to give proper care or attention to something.	He neglected his health for years until a serious illness forced him to change.
B2	abandon	verb	behaviour	бросать/оставлять	To leave someone or stop doing something permanently.	She was forced to abandon her studies due to lack of money.
B2	overcome	verb	behaviour	преодолевать	To succeed in dealing with a problem or difficulty.	He worked hard to overcome his fear of public speaking.
B2	synopsis	noun	academic_skills	краткое изложение	A brief summary of the main points of a longer work.	She submitted a one-page synopsis of her proposed research.
B2	argument	noun	academic_skills	аргумент/доводы	A reason given in support of or against a point.	The essay presented a clear argument for reducing car use in cities.
B2	cite	verb	academic_skills	ссылаться	To mention something as evidence or an example.	The professor cited three studies that supported the hypothesis.
B2	contrast	verb	academic_skills	противопоставлять	To show or describe the differences between two things.	The essay contrasts two different approaches to managing conflict.
B2	summarise	verb	academic_skills	кратко изложить	To give a brief statement of the main points.	She summarised the key findings in the final paragraph.
B2	obtain	verb	academic_skills	получать	To get something, often by effort or request.	He obtained permission from the university to publish the research.
B2	refer	verb	academic_skills	ссылаться	To mention or direct attention to something.	Please refer to the guidelines on page three before completing the form.
B2	demonstrate	verb	academic_skills	демонстрировать	To show something clearly using evidence or examples.	The experiment demonstrated that the hypothesis was correct.
B2	examine	verb	academic_skills	изучать	To investigate or inspect something in detail.	The committee examined the report for three hours before making a decision.
B2	distinguish	verb	academic_skills	различать	To recognise or point out the difference between two things.	She could easily distinguish between the two nearly identical paintings.
B2	regardless	adverb	logical_connectors	независимо от	Despite what else is happening; without being affected by something.	She decided to go ahead with the plan regardless of the risks involved.
B2	nevertheless	adverb	logical_connectors	тем не менее	In spite of that; despite what has been said.	The weather was terrible; nevertheless, the event went ahead as planned.
B2	whereas	conjunction	logical_connectors	тогда как	While in contrast; used to compare two different things.	She prefers the city whereas her husband loves the countryside.
B2	thereby	adverb	logical_connectors	тем самым	As a result of that action.	He completed the course early, thereby freeing time for other projects.
B2	furthermore	adverb	logical_connectors	кроме того	In addition to what has been said.	The product is cheaper; furthermore, it uses far less energy.
B2	consequently	adverb	logical_connectors	следовательно	As a result; therefore.	She missed the last train and consequently had to take a taxi home.
B2	nonetheless	adverb	logical_connectors	тем не менее	In spite of something; despite this.	The film had mixed reviews; nonetheless, it became a box office hit.
B2	although	conjunction	logical_connectors	хотя	Despite the fact that; in spite of the fact that.	Although it was cold outside, the children wanted to play in the garden.
B2	despite	preposition	logical_connectors	несмотря на	Without being affected by; in spite of.	Despite the rain, they decided to hold the event outdoors.
B2	therefore	adverb	logical_connectors	поэтому	For that reason; as a result.	He was ill and therefore unable to attend the meeting in person.
B2	threat	noun	risk_danger	угроза	A statement that you will harm someone; a danger.	Climate change poses a serious threat to biodiversity worldwide.
B2	risk	noun	risk_danger	риск	The possibility that something harmful will happen.	There is always a risk of failure when starting a new business.
B2	vulnerable	adjective	risk_danger	уязвимый	Exposed to the possibility of being harmed or attacked.	Elderly people are particularly vulnerable during extreme heat waves.
B2	severe	adjective	risk_danger	тяжёлый/суровый	Very bad, serious, or harsh.	The severe winter storm blocked roads across the entire region.
B2	urgent	adjective	risk_danger	срочный	Requiring immediate action or attention.	The doctor said the patient needed urgent surgery that same evening.
B2	critical	adjective	risk_danger	критический	Of extreme importance; at a point of crisis.	The patient was in a critical condition after the accident.
B2	inevitable	adjective	risk_danger	неизбежный	Certain to happen; impossible to prevent.	If nothing changes, a global water crisis seems inevitable.
B2	fatal	adjective	risk_danger	смертельный	Causing death or complete failure.	He made a fatal error of judgement that cost him the championship.
B2	collapse	verb	risk_danger	рухнуть/обвалиться	To fall down suddenly; to fail completely.	The company collapsed under the weight of its debts.
B2	outbreak	noun	risk_danger	вспышка (болезни)	A sudden occurrence of something dangerous, especially a disease.	The outbreak of influenza spread quickly through the school.
B2	combustion	noun	science_b2	горение	A chemical process in which a substance reacts with oxygen to produce heat and light.	The combustion of fossil fuels releases large quantities of carbon dioxide.
B2	atmosphere	noun	science_b2	атмосфера	The layer of gases surrounding the Earth.	Carbon dioxide accumulates in the atmosphere and traps heat.
B2	chromosome	noun	science_b2	хромосома	A structure in a cell that carries genetic information.	Humans normally have forty-six chromosomes in each body cell.
B2	chemical	noun	science_b2	химическое вещество	A substance produced by or used in chemistry.	Several harmful chemicals were found in the water supply.
B2	radiation	noun	science_b2	излучение	Energy emitted as waves or particles, especially from a nuclear source.	Workers were monitored for exposure to radiation after the accident.
B2	gravity	noun	science_b2	притяжение/гравитация	The force that pulls objects towards each other or towards the Earth.	Gravity keeps the planets in orbit around the sun.
B2	evolution	noun	science_b2	эволюция	The process by which species develop and change over millions of years.	The theory of evolution explains the diversity of life on Earth.
B2	genetic	adjective	science_b2	генетический	Relating to genes or inherited characteristics.	Some diseases have a strong genetic component that runs in families.
B2	cell	noun	science_b2	клетка	The smallest structural unit of a living organism.	Cancer occurs when cells divide in an uncontrolled way.
B2	species	noun	science_b2	вид (биологический)	A group of animals or plants that can breed together.	Hundreds of species of rainforest plants have yet to be identified.
B2	construct	noun	academic	конструкт	An idea or theory that has been developed to explain something.	Social class is a construct that varies across different societies.
B2	methodology	noun	academic	методология	The system of methods used in a particular field of study.	The research paper clearly described the methodology used to collect data.
B2	proposition	noun	academic	утверждение/предложение	A statement or assertion that expresses a judgement.	The essay argued against the proposition that technology always improves lives.
B2	criterion	noun	academic	критерий	A principle or standard by which something is judged or decided.	Academic performance is only one criterion for university admission.
B2	conceptual	adjective	academic	концептуальный	Relating to ideas or concepts rather than physical things.	The research was still at a conceptual stage and had not yet been tested.
B2	objective	adjective	academic	объективный	Not influenced by personal feelings; based only on facts.	She tried to give an objective assessment of the situation.
B2	subjective	adjective	academic	субъективный	Based on personal feelings rather than facts.	Opinions about art are highly subjective.
B2	succinct	adjective	academic	сжатый/лаконичный	Expressed in few words; brief and clear.	She gave a succinct summary of the main findings in three sentences.
B2	analytical	adjective	academic	аналитический	Using analysis or logical thinking to examine something carefully.	Her analytical approach to the problem impressed the research committee.
B2	neutral	adjective	academic	нейтральный	Not supporting any side in a disagreement.	The report was written from a neutral standpoint.
B2	interdisciplinary	adjective	academic	междисциплинарный	Combining two or more academic subjects or fields of study.	The course takes an interdisciplinary approach to environmental problems.
B2	disparity	noun	society	неравенство/несоответствие	A great difference between things or people.	There is a significant disparity in wages between men and women.
B2	solidarity	noun	society	солидарность	Unity and agreement among a group with shared interests.	Workers showed solidarity by going on strike together.
B2	mainstream	noun	society	основное направление	The ideas or activities considered normal in a society.	Her views were once controversial but are now mainstream.
B2	stereotype	noun	society	стереотип	An oversimplified idea about a particular type of person.	The film was criticised for relying on stereotypes.
B2	prejudice	noun	society	предрассудок	An opinion not based on reason or experience.	She faced prejudice at work because of her background.
B2	inclusion	noun	society	включение/инклюзивность	The practice of ensuring all people are included and valued.	The school has a strong policy of inclusion for students with disabilities.
B2	empowerment	noun	society	расширение прав и возможностей	The process of becoming stronger and more confident.	The programme aims at the economic empowerment of women.
B2	norm	noun	society	норма	A standard of behaviour expected in a particular society.	Wearing formal clothes to work is no longer the norm in many offices.
B2	scheme	noun	society	схема/программа	An organised plan or programme, especially by the government.	The government introduced a scheme to subsidise electric vehicle purchases.
B2	agenda	noun	society	повестка дня	A list of topics to be discussed; a set of aims.	Environmental protection is at the top of the political agenda.
B2	biodiversity	noun	environment	биоразнообразие	The variety of plant and animal life in a particular habitat.	The destruction of rainforests reduces biodiversity dramatically.
B2	deforestation	noun	environment	вырубка лесов	The large-scale removal of trees from forested areas.	Deforestation contributes to climate change and species extinction.
B2	carbon footprint	noun	environment	углеродный след	The total amount of greenhouse gases produced by a person or activity.	She reduced her carbon footprint by cycling instead of driving.
B2	greenhouse gas	noun	environment	парниковый газ	A gas that traps heat in the atmosphere, contributing to climate change.	Carbon dioxide is the most significant greenhouse gas.
B2	desertification	noun	environment	опустынивание	The process by which fertile land becomes desert.	Desertification is spreading across parts of Africa due to climate change and poor land management.
B2	pollution	noun	environment	загрязнение	Harmful substances introduced into the environment.	Plastic pollution in the ocean is a growing environmental crisis.
B2	ozone layer	noun	environment	озоновый слой	A layer of ozone in the atmosphere that absorbs ultraviolet radiation.	Certain chemicals have caused significant damage to the ozone layer.
B2	climate change	noun	environment	изменение климата	Long-term shifts in global temperatures and weather patterns.	Climate change is causing more frequent and severe weather events.
B2	erosion	noun	environment	эрозия	The gradual wearing away of rock, soil, or other material by water or wind.	Erosion of the riverbank had been worsening for decades without intervention.
B2	offshore	adjective	environment	шельфовый/морской	Located at sea, away from the coast.	Offshore wind farms generate clean electricity.
B2	solar energy	noun	environment	солнечная энергия	Power generated from sunlight using solar panels.	The building runs entirely on solar energy.
B2	depletion	noun	environment	истощение/уменьшение	A reduction in the quantity of something, especially a resource.	The rapid depletion of fish stocks threatens the livelihoods of coastal communities.
B2	venture	noun	business	предприятие/начинание	A new project or activity that involves some risk.	She started a new business venture with two former colleagues.
B2	shareholder	noun	business	акционер	A person who owns shares in a company.	The shareholders voted to approve the new management strategy.
B2	entrepreneur	noun	business	предприниматель	A person who starts and runs their own business.	He became a successful entrepreneur after leaving university.
B2	tender	noun	business	тендер/конкурсная заявка	A formal written offer to supply goods or do work at a stated price.	Three firms submitted tenders for the construction contract.
B2	rebrand	verb	business	ребрендинг	To change the image and name of a company or product.	The company rebranded completely after the scandal.
B2	profit margin	noun	business	норма прибыли	The difference between the cost of making a product and its selling price.	The profit margin on luxury goods is much higher than on basic items.
B2	niche	noun	business	ниша	A specific area of the market that a product or service appeals to.	They found a niche in the market for organic pet food.
B2	patent	noun	business	патент	An official right to be the only person who makes or sells an invention.	She applied for a patent to protect her new invention.
B2	supply chain	noun	business	цепочка поставок	The sequence of organisations involved in making and delivering a product.	The pandemic disrupted supply chains around the world.
B2	quota	noun	business	квота	A fixed amount of something allowed or required.	The government imposed import quotas to protect domestic manufacturers.
B2	pitch	noun	business	коммерческое предложение	A presentation designed to persuade someone to buy a product or idea.	She practised her pitch carefully before meeting the potential investors.
B2	subconscious	noun	psychology	подсознание	The part of the mind that works below conscious awareness.	The image had worked its way into her subconscious.
B2	trauma	noun	psychology	травма (психологическая)	A deeply distressing experience that causes lasting mental harm.	She sought therapy to help her process the trauma of the accident.
B2	preconception	noun	psychology	предвзятое мнение	An idea formed before having full evidence; a prior assumption.	The therapist challenged her preconceptions about what a successful person should be.
B2	attachment	noun	psychology	привязанность	A strong emotional bond between people, especially parent and child.	Early childhood attachment to caregivers shapes emotional development.
B2	resilient	adjective	psychology	устойчивый	Able to recover quickly from difficult situations.	Children who feel loved and supported tend to be more resilient.
B2	compulsive	adjective	psychology	навязчивый/компульсивный	Unable to control a habit or behaviour.	He had compulsive habits that he found very difficult to change.
B2	innate	adjective	psychology	врождённый	Existing from birth; natural rather than learned.	Some researchers argue that a capacity for language is innate.
B2	phobia	noun	psychology	фобия	An extreme and irrational fear of something.	She has a phobia of flying and always travels by train.
B2	impulse	noun	psychology	импульс/порыв	A sudden desire to do something without thinking first.	He acted on impulse and bought the expensive watch.
B2	projection	noun	psychology	проекция	Attributing one's own feelings or thoughts to someone else.	His anger at others was partly a projection of his own inner conflicts.
B2	propaganda	noun	media	пропаганда	Information, often biased, used to promote a political cause.	The government used propaganda to maintain control over the population.
B2	tabloid	noun	media	таблоид	A popular newspaper with short articles and many photographs.	The tabloid printed a story about the politician's private life.
B2	editorial	noun	media	редакционная статья	An article in a newspaper that expresses the editor's opinion.	The newspaper published an editorial calling for government reform.
B2	circulation	noun	media	тираж	The number of copies of a newspaper sold each day.	The newspaper's circulation has fallen dramatically with the rise of online news.
B2	viral	adjective	media	вирусный (интернет-феномен)	Quickly spread from person to person via the internet.	The funny video went viral and was watched forty million times.
B2	platform	noun	media	платформа	An online service on which content is shared or consumed.	The streaming platform released a new documentary series last month.
B2	subscription	noun	media	подписка	An arrangement to pay regularly for a service.	She has a subscription to a music streaming service.
B2	framing	noun	media	подача/трактовка	The way in which information is presented to influence how it is understood.	The framing of the story in the newspaper influenced public opinion significantly.
B2	credibility	noun	media	достоверность	The quality of being trusted and believed.	The scandal seriously damaged the newspaper's credibility.
B2	fake news	noun	media	фейковые новости	False information presented as genuine news.	Fake news spread rapidly during the election campaign.
B2	gender	noun	social_issues	пол/гендер	The social roles and characteristics associated with being male or female.	Gender equality in education has improved significantly over the past fifty years.
B2	asylum seeker	noun	social_issues	соискатель убежища	A person who has left their country and applied for protection elsewhere.	The charity helps asylum seekers find housing and legal support.
B2	rehabilitation	noun	social_issues	реабилитация	The process of helping someone recover or reintegrate into society.	The prison programme focused on rehabilitation rather than punishment.
B2	marginalised	adjective	social_issues	маргинализованный	Treated as unimportant or excluded from society.	The study examined the challenges faced by marginalised groups.
B2	stigma	noun	social_issues	стигма	A mark of disgrace associated with a particular condition.	There is still a stigma attached to mental illness in many communities.
B2	exclusion	noun	social_issues	исключение (социальное)	The process of being left out or prevented from participating.	Social exclusion leads to isolation and poor mental health.
B2	empower	verb	social_issues	расширять права и возможности	To give someone the confidence and means to control their own life.	The programme is designed to empower young women in rural areas.
B2	advocate	verb	social_issues	выступать в защиту	To publicly support a cause or policy.	She advocates for the rights of people with disabilities.
