LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
C1	surveillance	noun	organisation	слежка/надзор	Close observation of a person or group, especially by authorities.	The city installed hundreds of surveillance cameras in public areas.
C1	regulation	noun	organisation	регулирование	An official rule controlling how something is done.	New regulations were introduced to limit pollution from cars.
C1	authorise	verb	organisation	уполномочивать	To give official permission for something to be done.	Only the director can authorise payments of this size.
C1	deteriorating	adjective	conditions	ухудшающийся	Becoming progressively worse over time.	Deteriorating weather conditions forced them to abandon the climb.
C1	unprecedented	adjective	conditions	беспрецедентный	Never having happened or existed before.	The company reported unprecedented losses in the final quarter.
C1	catastrophic	adjective	conditions	катастрофический	Involving or causing sudden great damage or suffering.	The failure of the dam would have had catastrophic consequences downstream.
C1	imminent	adjective	conditions	неминуемый	About to happen very soon.	Forecasters warned that an imminent storm would hit the coast by morning.
C1	prolonged	adjective	conditions	длительный	Continuing for a long time; extended.	The prolonged drought caused severe water shortages across the region.
C1	marginal	adjective	conditions	незначительный/маргинальный	Of minor importance; at the edge of a field or group.	The improvement in air quality was marginal and barely noticeable.
C1	radical	adjective	conditions	радикальный	Relating to fundamental change; extreme in views or methods.	The report called for radical reforms to the entire benefits system.
C1	momentous	adjective	conditions	судьбоносный/значимый	Very important because of likely effects on the future.	The decision to leave the union was one of the most momentous in the country's history.
C1	unambiguous	adjective	conditions	однозначный	Clear and not open to different interpretations.	The instructions were unambiguous and left no room for confusion.
C1	tacit	adjective	conditions	молчаливый/подразумеваемый	Understood or implied without being stated openly.	There was a tacit agreement between them never to mention the incident.
C1	encounter	verb	experiences	встречать/сталкиваться	To unexpectedly meet or experience something.	She encountered many difficulties during her first year working abroad.
C1	confront	verb	experiences	противостоять	To deal directly with a problem or difficult situation.	He finally found the courage to confront his fear of failure.
C1	construe	verb	experiences	истолковывать	To interpret something in a particular way.	Her silence was construed as agreement, which was not what she intended.
C1	deduce	verb	experiences	делать вывод	To arrive at a fact or conclusion by reasoning.	From the clues, the detective deduced that the crime had happened at midnight.
C1	acknowledge	verb	experiences	признавать	To accept or admit the existence or truth of something.	She acknowledged that she had made several significant errors.
C1	withstand	verb	experiences	выдерживать	To remain strong when faced with something difficult.	The bridge was designed to withstand earthquakes up to magnitude eight.
C1	perplex	verb	experiences	приводить в замешательство	To make someone feel completely puzzled or confused.	The unexpected result perplexed even the most experienced researchers.
C1	inhibit	verb	experiences	сдерживать	To prevent something from happening or make it harder to do.	Shyness can inhibit people from expressing themselves clearly.
C1	prevail	verb	experiences	преобладать/одерживать победу	To prove more powerful or successful; to be most common.	Common sense must prevail if we are to find a lasting solution.
C1	resemble	verb	experiences	быть похожим на	To look or seem similar to something or someone.	The new building closely resembles the old one it replaced.
C1	statute	noun	law_politics	статут/закон	A written law passed by a legislative body.	The statute was passed unanimously by both chambers of parliament.
C1	liable	adjective	law_politics	несущий ответственность (по закону)	Legally responsible for something.	The company was found liable for the damage caused to local residents.
C1	injunction	noun	law_politics	судебный запрет	A court order requiring someone to do or not do something.	The judge issued an injunction to prevent publication of the story.
C1	plaintiff	noun	law_politics	истец	A person who brings a case against another in a court of law.	The plaintiff argued that the defendant had breached the contract.
C1	defendant	noun	law_politics	ответчик	A person accused of a crime in a court of law.	The defendant pleaded not guilty to all charges against her.
C1	contempt	noun	law_politics	неуважение к суду	The offence of disobeying or disrespecting a court or its orders.	He was found in contempt of court and fined heavily.
C1	appeal	noun	law_politics	апелляция	A request to a higher court to review a decision.	The lawyer filed an appeal against the verdict.
C1	extradite	verb	law_politics	выдавать (преступника)	To send a criminal from one country to another for trial.	The suspect was extradited to face charges in his home country.
C1	acquit	verb	law_politics	оправдывать (в суде)	To officially declare that someone is not guilty of a crime.	The jury acquitted her of all charges after a two-week trial.
C1	decree	noun	law_politics	декрет/указ	An official order issued by a government or ruler.	The president issued a decree banning all public gatherings.
C1	mandate	noun	law_politics	мандат/полномочия	An official instruction or authority to do something.	The party won the election with a clear mandate for change.
C1	enact	verb	law_politics	принимать (закон)	To make a bill into a law.	Parliament enacted new environmental legislation last spring.
C1	ratify	verb	law_politics	ратифицировать	To formally approve an agreement or treaty.	All member states ratified the new international climate agreement.
C1	lobby	verb	law_politics	лоббировать	To try to influence politicians on behalf of a particular group.	Oil companies lobby governments to prevent restrictions on drilling.
C1	tenet	noun	academic_discourse	принцип/положение	A principle or belief held by a person or organisation.	A central tenet of the theory is that behaviour is shaped by environment.
C1	oratory	noun	academic_discourse	ораторское искусство	The skill of public speaking, especially when used to persuade.	His oratory inspired the crowd to support the cause.
C1	appraisal	noun	academic_discourse	оценка/экспертиза	A formal assessment of the worth or quality of something.	An independent appraisal of the evidence was commissioned by the university.
C1	inference	noun	academic_discourse	умозаключение	A conclusion reached on the basis of evidence and reasoning.	The inference drawn from the data was that prices would rise.
C1	maxim	noun	academic_discourse	максима/аксиома поведения	A short statement expressing a general truth or rule of conduct.	The ethical framework was based on the maxim of treating others as you wish to be treated.
C1	conjecture	noun	academic_discourse	предположение/гипотеза	An opinion or conclusion formed on the basis of incomplete information.	The report distinguished carefully between established fact and conjecture.
C1	compendium	noun	academic_discourse	сборник/компендиум	A concise collection of information on a particular subject.	The professor compiled a compendium of the most important texts in the field.
C1	dissertation	noun	academic_discourse	диссертация	A long piece of writing based on original research for a university degree.	She spent two years writing her doctoral dissertation on migration.
C1	refute	verb	academic_discourse	опровергать	To prove that a statement or theory is false.	The scientist refuted the earlier findings with new experimental data.
C1	postulate	verb	academic_discourse	постулировать	To suggest or assume something as a basis for argument.	The researcher postulated that the effect was caused by a third variable.
C1	overhaul	verb	change	капитально реконструировать	To examine and repair or completely change something.	The government plans to overhaul the entire welfare system.
C1	restructure	verb	change	реструктурировать	To change the organisation of a system or company.	The company restructured its operations after losses in the previous year.
C1	transform	verb	change	преобразовывать	To change something completely, usually for the better.	Investment in education can transform the prospects of an entire generation.
C1	reconfigure	verb	change	перестраивать	To change the arrangement or structure of something.	They had to reconfigure their strategy after the initial plan failed.
C1	revise	verb	change	пересматривать	To change and improve something, especially a plan or opinion.	She revised her argument in light of the new evidence.
C1	phase out	verb	change	постепенно выводить из использования	To gradually stop using something.	The government plans to phase out coal-powered electricity generation.
C1	institutionalise	verb	change	институционализировать	To make something a formal part of an organisation or social system.	The reforms were designed to institutionalise democratic values in the new state.
C1	reverse	verb	change	обращать вспять	To change something so it is the opposite of what it was.	It is very difficult to reverse the effects of deforestation.
C1	remodel	verb	change	переделывать/реструктурировать	To change the structure or form of something to make it more effective.	The organisation was remodelled to improve communication between departments.
C1	migrate	verb	change	мигрировать	To move from one place to another, often permanently.	Many businesses have migrated their operations to cheaper locations.
C1	fluctuate	verb	change	колебаться	To change frequently and irregularly.	Exchange rates fluctuate constantly in response to global events.
C1	calcify	verb	change	костенеть/закостеневать	To become inflexible and resistant to new ideas or change.	Without reform, the bureaucracy risked calcifying around outdated procedures.
C1	stagnate	verb	change	застаиваться	To stop developing or making progress.	Without investment, the economy began to stagnate.
C1	turnaround	noun	change	перелом/разворот	A complete change from a bad situation to a good one.	The company achieved a remarkable turnaround in just eighteen months.
C1	venture capital	noun	business_advanced	венчурный капитал	Money invested in new or risky businesses.	She secured venture capital to expand her technology startup.
C1	stakeholder	noun	business_advanced	заинтересованная сторона	A person or group with an interest in how a company is run.	The company consulted all stakeholders before making the final decision.
C1	turnover	noun	business_advanced	оборот/текучесть кадров	The amount of money a company earns; also the rate at which staff leave.	The company's annual turnover exceeded ten million pounds.
C1	merger	noun	business_advanced	слияние	The combining of two organisations into one.	The merger between the two banks created the largest financial institution.
C1	acquisition	noun	business_advanced	поглощение/приобретение	The act of buying or gaining ownership of a company.	The acquisition of the rival firm gave them access to new technology.
C1	collateral	noun	business_advanced	залог/обеспечение	Property offered as security for a loan.	She offered her property as collateral for the business loan.
C1	insolvency	noun	business_advanced	неплатёжеспособность	The inability to pay one's debts as they fall due.	The firm's insolvency led to hundreds of job losses.
C1	arbitration	noun	business_advanced	арбитраж	A method of resolving disputes outside of court.	The dispute was settled through independent arbitration.
C1	benchmark	noun	business_advanced	ориентир/эталон	A standard used to compare or measure the performance of something.	The company used industry benchmarks to assess its own performance.
C1	portfolio	noun	business_advanced	портфель (инвестиционный)	A collection of investments or creative works belonging to one person.	She manages a portfolio of investments worth several million pounds.
C1	fiscal	adjective	business_advanced	фискальный/финансовый	Relating to government revenue and public finances.	The government introduced a series of fiscal reforms to reduce spending.
C1	yield	noun	business_advanced	доход/урожай	The income produced by an investment over a period of time.	The bond offered an annual yield of four percent.
C1	scrutinise	verb	science	тщательно исследовать	To examine something very carefully.	The researchers scrutinised every detail of the experimental data.
C1	replicate	verb	science	воспроизводить (эксперимент)	To reproduce an experiment or process to verify results.	The team attempted to replicate the original findings but could not.
C1	calibrate	verb	science	калибровать	To adjust a measuring instrument to ensure accuracy.	The technician calibrated the equipment before the experiment began.
C1	validate	verb	science	подтверждать	To check that something is accurate, true, or effective.	Independent tests were needed to validate the initial findings.
C1	quantify	verb	science	квантифицировать	To measure or express something as a number.	It is difficult to quantify the effects of stress on the immune system.
C1	aberration	noun	science	аберрация/отклонение	A departure from what is normal or expected.	The aberration in the data suggested that an error had occurred during collection.
C1	paradigm shift	noun	science	смена парадигмы	A fundamental change in the way a subject is approached.	The discovery caused a paradigm shift in how scientists understand the condition.
C1	placebo	noun	science	плацебо	A harmless substance given to a patient instead of medicine.	Half the participants received the drug and half received a placebo.
C1	peer review	noun	science	рецензирование	The process of checking research by other experts in the field.	The study was accepted after peer review by a panel of scientists.
C1	quantum	adjective	science	квантовый	Relating to the smallest discrete unit of a physical property.	Quantum computing could solve problems beyond the reach of current computers.
C1	aggregate	verb	science	агрегировать	To combine different items into a whole.	The data was aggregated from thousands of individual surveys.
C1	deduction	noun	science	дедукция/вычет	A conclusion reached from known facts by a process of reasoning.	The scientist's deduction proved correct when the theory was tested.
C1	nuanced	adjective	science	нюансированный	Characterised by subtle distinctions.	The analysis was nuanced and acknowledged several limitations.
C1	reproducible	adjective	science	воспроизводимый	Capable of being reproduced by repeated experiments.	The results were reproducible across multiple independent laboratories.
C1	prosody	noun	language_advanced	просодия	The patterns of stress and intonation in a language.	A strong grasp of prosody helps non-native speakers sound more natural.
C1	syntax	noun	language_advanced	синтаксис	The arrangement of words in sentences according to grammatical rules.	The complex syntax of the ancient text made it hard to translate.
C1	semantics	noun	language_advanced	семантика	The study of meaning in language.	The word has changed in semantics over the centuries.
C1	circumlocution	noun	language_advanced	описательный оборот/многословие	The use of many words when fewer would do; indirect expression.	His answer was a masterpiece of circumlocution that revealed nothing.
C1	innuendo	noun	language_advanced	инсинуация/намёк	An indirect suggestion about something improper.	The article was full of innuendo but contained no direct accusations.
C1	litotes	noun	language_advanced	литота	A figure of speech using understatement, often with a negative.	Saying the food was 'not bad' when you loved it is a form of litotes.
C1	jargon	noun	language_advanced	жаргон	Specialised words used by a particular group.	The report was full of technical jargon that most readers could not understand.
C1	satire	noun	language_advanced	сатира	The use of humour or irony to criticise or expose foolishness.	The magazine is known for its political satire.
C1	anaphora	noun	language_advanced	анафора	The repetition of a word or phrase at the beginning of successive clauses.	Churchill's speech used anaphora powerfully: 'We shall fight on the beaches, we shall fight on the landing grounds...'
C1	colloquial	adjective	language_advanced	разговорный	Relating to informal speech.	The word is very common in colloquial English but rarely used in formal writing.
C1	tautology	noun	language_advanced	тавтология	Saying the same thing twice in different words.	'Free gift' is a tautology because all gifts are free by definition.
C1	idiomatic	adjective	language_advanced	идиоматический	Relating to expressions whose meaning cannot be guessed from the words.	Her idiomatic use of English impressed native speakers.
C1	partisan	adjective	global_issues	партийный/предвзятый	Strongly supporting a particular cause or side.	The report was criticised as partisan rather than objective.
C1	hegemony	noun	global_issues	гегемония	Leadership or dominance of one country over others.	The global hegemony of a single superpower was being challenged.
C1	multilateral	adjective	global_issues	многосторонний	Involving several countries or parties.	The issue requires a multilateral approach to be resolved.
C1	non-governmental organisation	noun	global_issues	неправительственная организация	An independent group that works on social or environmental issues.	The non-governmental organisation provided aid to refugees.
C1	embargo	noun	global_issues	эмбарго	An official ban on trade with a particular country.	The United Nations imposed an arms embargo on the regime.
