LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
C2	indefatigable	adjective	character	неутомимый	Persisting tirelessly despite difficulties.	She was an indefatigable campaigner who fought for justice her whole life.
C2	verisimilitude	noun	art_literature	правдоподобие	The appearance of being true or real in fiction or art.	The historical novel achieved remarkable verisimilitude in its descriptions.
C2	denouement	noun	art_literature	развязка	The final part of a story where all conflicts are resolved.	The film's denouement was surprising but felt satisfying.
C2	soliloquy	noun	art_literature	монолог (театральный)	A speech made by a character alone on stage.	Hamlet's famous soliloquy raises questions about life and death.
C2	polemic	noun	art_literature	полемика	A strong verbal or written attack on a particular opinion.	The article was a fierce polemic against the government's education cuts.
C2	allegory	noun	art_literature	аллегория	A story or poem where characters represent abstract ideas or moral qualities.	The novel is an allegory about the corrupting nature of power.
C2	elegy	noun	art_literature	элегия	A poem or song written to mourn someone's death.	He wrote a moving elegy for his father who had died the previous year.
C2	hyperbole	noun	art_literature	гипербола	Exaggerated language used for emphasis, not meant literally.	Saying she waited for an eternity is an obvious hyperbole.
C2	aesthetic	adjective	art_literature	эстетический	Concerned with beauty or the appreciation of beauty.	The designer made aesthetic choices that gave the building a timeless quality.
C2	poignant	adjective	art_literature	трогательный	Evoking strong feelings of sadness or deep emotion.	The final scene of the film was poignant and left many viewers in tears.
C2	evocative	adjective	art_literature	выразительный	Bringing strong memories, feelings, or images to mind.	Her writing is richly evocative of the landscapes of her childhood.
C2	inexorable	adjective	force_change	неумолимый	Impossible to stop or prevent; continuing without pity.	The inexorable march of technology is changing every industry.
C2	insidious	adjective	force_change	коварный	Proceeding in a subtle and harmful way.	The disease progresses in an insidious way, often going unnoticed for years.
C2	pernicious	adjective	force_change	пагубный	Having a very harmful or damaging effect.	The pernicious effects of poverty are felt across generations.
C2	virulent	adjective	force_change	злобный/опасный	Extremely severe or harmful; strongly hostile.	The virulent virus spread through the population with alarming speed.
C2	inveterate	adjective	force_change	закоренелый	Having a habit that is deeply established and unlikely to change.	He was an inveterate gambler who lost everything he owned.
C2	indelible	adjective	force_change	неизгладимый	Making marks that cannot be removed; impossible to forget.	The experience left an indelible mark on her understanding of human nature.
C2	pervasive	adjective	force_change	повсеместный	Spreading widely throughout a society or environment.	A pervasive sense of anxiety gripped the population during the crisis.
C2	fervent	adjective	force_change	пылкий	Having or showing strong, passionate feelings.	She was a fervent believer in the power of education to change lives.
C2	relentless	adjective	force_change	безжалостный/неослабевающий	Continuing in an intense or harsh way without stopping.	The relentless rain flooded fields across the entire region.
C2	nascent	adjective	force_change	зарождающийся	Just beginning to develop; not yet fully formed.	The nascent democracy faced enormous challenges in its early years.
C2	burgeon	verb	growth	стремительно расти	To grow or develop rapidly.	The city's tech industry began to burgeon after the new investment fund was launched.
C2	proliferate	verb	growth	распространяться	To increase rapidly in number.	Fake news stories continue to proliferate on social media platforms.
C2	disseminate	verb	growth	распространять	To spread information widely among many people.	The study's findings were disseminated through academic journals worldwide.
C2	permeate	verb	growth	пронизывать	To spread throughout every part of something.	A smell of baking bread permeated the entire building.
C2	coalesce	verb	growth	объединяться	To come together to form one group or whole.	Several small opposition groups coalesced to form a powerful political force.
C2	culminate	verb	growth	достигать кульминации	To reach the highest point or final stage.	Years of hard work culminated in her winning the Nobel Prize.
C2	wane	verb	growth	убывать/ослабевать	To decrease gradually in strength, size, or importance.	Public interest in the story began to wane after several weeks.
C2	dwindle	verb	growth	уменьшаться	To gradually become smaller or less important.	The population of the village dwindled as young people moved to the cities.
C2	engender	verb	growth	порождать	To cause a feeling or situation to arise.	The new policy engendered widespread mistrust among community members.
C2	galvanise	verb	growth	гальванизировать/воодушевлять	To shock or excite someone into taking action.	The tragedy galvanised the community into demanding better safety measures.
C2	abstruse	adjective	advanced_descriptions	трудный для понимания	Difficult to understand; obscure.	The philosopher's writing was so abstruse that few could follow his reasoning.
C2	limpid	adjective	advanced_descriptions	прозрачный/ясный	Clear and transparent; easily understood.	His limpid prose made even the most complex ideas accessible.
C2	meretricious	adjective	advanced_descriptions	мишурный/показной	Apparently attractive but having no real value.	The film was dismissed as meretricious spectacle with no real substance.
C2	fastidious	adjective	advanced_descriptions	щепетильный/взыскательный	Very attentive to accuracy and detail; hard to please.	She was fastidious about punctuation and corrected every error she found.
C2	pellucid	adjective	advanced_descriptions	кристально ясный	Translucently clear; easily understood.	His pellucid explanation of the theory impressed the entire audience.
C2	mordant	adjective	advanced_descriptions	едкий/язвительный	Having a sharply critical and often cruel quality.	His mordant wit made his colleagues laugh but also left some feeling stung.
C2	inscrutable	adjective	advanced_descriptions	загадочный/непроницаемый	Impossible to understand or interpret.	His inscrutable expression gave away nothing of what he was thinking.
C2	platitudinous	adjective	advanced_descriptions	банальный	Full of dull and unoriginal remarks.	The speech was platitudinous and failed to inspire anyone.
C2	recondite	adjective	advanced_descriptions	малоизвестный/сокровенный	Not known by many people; obscure.	He was an expert in a recondite area of mediaeval history.
C2	stentorian	adjective	advanced_descriptions	громоподобный	Loud and powerful in sound.	She spoke in a stentorian voice that carried to every corner of the hall.
C2	abrogate	verb	advanced_verbs	отменять	To repeal or abolish a law or agreement formally.	The government sought to abrogate the treaty it had signed the previous decade.
C2	castigate	verb	advanced_verbs	сурово критиковать	To criticise or reprimand someone severely.	He was castigated by the press for his handling of the crisis.
C2	temporise	verb	advanced_verbs	тянуть время	To delay making a decision in order to gain time.	She temporised for weeks before finally committing to a course of action.
C2	promulgate	verb	advanced_verbs	обнародовать	To make a decree or law publicly known.	The authorities promulgated new regulations without consulting affected parties.
C2	vitiate	verb	advanced_verbs	подрывать/нарушать	To impair or weaken the effectiveness of something.	The conflict of interest vitiated the independence of the inquiry.
C2	eviscerate	verb	advanced_verbs	потрошить/сводить на нет	To remove essential parts; to deprive of vital content.	Critics argued that the amendments eviscerated the original legislation.
C2	burnish	verb	advanced_verbs	отполировать/улучшить репутацию	To polish something; to improve a reputation.	She burnished her image with a series of high-profile charitable acts.
C2	militate	verb	advanced_verbs	противодействовать	To be a powerful factor against something.	Several factors militated against the success of the proposal.
C2	prevaricate	verb	advanced_verbs	уклоняться от прямого ответа	To speak or act evasively; to avoid giving a direct answer.	When asked directly, he prevaricated and refused to give a clear answer.
C2	impugn	verb	advanced_verbs	оспаривать/ставить под сомнение	To challenge the truth, validity, or integrity of something.	She impugned the accuracy of his account of events.
C2	ennui	noun	advanced_nouns	скука/апатия	A feeling of listlessness from lack of interest or excitement.	The prolonged holiday left her with a sense of ennui she could not shake.
C2	chimera	noun	advanced_nouns	химера/иллюзия	An impossible or fanciful idea; something unrealistic.	His plan to build a utopian community was dismissed as a chimera.
C2	lacuna	noun	advanced_nouns	пробел/лакуна	A gap or missing portion in a text, argument, or record.	The historian identified a significant lacuna in the archival record.
C2	apotheosis	noun	advanced_nouns	апофеоз	The highest or most perfect development of something.	The symphony was considered the apotheosis of his composing career.
C2	desideratum	noun	advanced_nouns	насущная потребность	Something needed and desired.	Clear thinking is the primary desideratum in any academic discipline.
C2	dialectic	noun	advanced_nouns	диалектика	A method of examining opposing ideas to reach a conclusion.	The political debate took the form of a Hegelian dialectic between tradition and progress.
C2	palimpsest	noun	advanced_nouns	палимпсест	Something altered but still bearing traces of earlier forms.	The city's architecture was a palimpsest of centuries of occupation and rebuilding.
C2	metonymy	noun	advanced_nouns	метонимия	A figure of speech in which a related word is substituted for the actual word.	Saying 'the crown' to mean the monarchy is an example of metonymy.
C2	aphorism	noun	advanced_nouns	афоризм	A brief observation that contains a general truth.	The essay was peppered with well-chosen aphorisms on the nature of power.
C2	apocryphal	adjective	advanced_nouns	апокрифический	Of questionable authenticity; widely circulated but probably not true.	The story of his heroic deeds is almost certainly apocryphal.
C2	synecdoche	noun	advanced_nouns	синекдоха	A figure of speech in which a part is used to represent the whole.	Using 'wheels' to mean a car is a common synecdoche in informal English.
C2	epistemology	noun	advanced_thinking	эпистемология	The branch of philosophy concerned with the nature and limits of knowledge.	The course covered epistemology and the question of how we can know anything with certainty.
C2	reductive	adjective	advanced_thinking	редукционистский	Presenting something in an oversimplified way.	The analysis was dismissed as reductive and lacking in nuance.
C2	prescient	adjective	advanced_thinking	проницательный/прозорливый	Having or showing knowledge of events before they happen.	Her prescient warnings about the risks were ignored at the time.
C2	liminal	adjective	advanced_thinking	лиминальный	Relating to a transitional period or state between two stages.	Adolescence is often described as a liminal phase between childhood and adulthood.
C2	ontological	adjective	advanced_thinking	онтологический	Relating to the nature of being and existence.	The debate raised deep ontological questions about identity and consciousness.
C2	teleological	adjective	advanced_thinking	телеологический	Relating to or explaining phenomena by their final purpose.	The teleological argument claims that the universe's design implies a creator.
C2	equivocal	adjective	advanced_thinking	двусмысленный	Open to two or more interpretations; deliberately ambiguous.	His equivocal answer failed to reassure investors.
C2	tautological	adjective	advanced_thinking	тавтологический	Using different words to say the same thing redundantly.	The phrase 'completely annihilate' was criticised as tautological.
C2	axiological	adjective	advanced_thinking	аксиологический	Relating to the study of values and value judgements.	The course examined the axiological foundations of environmental ethics.
C2	visceral	adjective	character	инстинктивный/нутряной	Coming from deep emotions rather than reason.	The visceral impact of the documentary left many viewers unable to speak.
C2	obdurate	adjective	character	упрямый/непреклонный	Stubbornly refusing to change one's opinion or action.	He was obdurate in his refusal to admit any wrongdoing.
C2	irascible	adjective	character	вспыльчивый	Prone to outbursts of anger; irritable.	The irascible professor alarmed students who had not met him before.
C2	ebullient	adjective	character	жизнерадостный/бурный	Cheerful and full of energy.	Her ebullient personality made her enormously popular with colleagues.
C2	phlegmatic	adjective	character	флегматичный	Calm, self-possessed, and not easily excited.	His phlegmatic nature meant he rarely reacted to provocations.
C2	sanguinary	adjective	character	кровожадный/кровопролитный	Accompanied by or fond of bloodshed.	The sanguinary history of the region stretched back for centuries.
C2	sycophant	noun	character	льстец/подхалим	A person who flatters important people to gain advantage.	He surrounded himself with sycophants who never challenged his decisions.
C2	misanthrope	noun	character	мизантроп	A person who dislikes and avoids other people.	He was not shy but a confirmed misanthrope who preferred solitude.
C2	curmudgeon	noun	character	брюзга/ворчун	A bad-tempered or grumpy person.	The old curmudgeon refused to speak to his neighbours for years.
C2	stoic	adjective	character	стоический	Enduring pain or difficulty without complaining.	She bore her illness with a stoic dignity that inspired those around her.
C2	magniloquent	adjective	character	напыщенный/высокопарный	Using high-flown, pompous language.	His magniloquent speeches impressed nobody who had to sit through them twice.
C2	bathos	noun	art_literature	батос/антикульминация	An abrupt change from high to low, producing a comic or disappointing effect.	The film descended into bathos when the dramatic climax was followed by slapstick comedy.
C2	mimesis	noun	art_literature	мимезис	The imitative representation of reality in art and literature.	Aristotle's theory of mimesis underpins much of Western literary criticism.
C2	pastiche	noun	art_literature	пастиш	A work that imitates the style of another work or artist.	The novel is an affectionate pastiche of Victorian detective fiction.
C2	parable	noun	art_literature	притча	A short story that illustrates a moral or religious lesson.	The parable of the prodigal son is one of the most well-known in Western culture.
C2	subplot	noun	art_literature	побочная сюжетная линия	A secondary storyline in a narrative that supports the main plot.	The love story serves as a subplot that adds emotional depth to the thriller.
C2	foil	noun	art_literature	персонаж-контраст	A character who contrasts with another to highlight their qualities.	The cynical foil served to underscore the hero's idealism.
C2	leitmotif	noun	art_literature	лейтмотив	A recurring theme or image in a work of art.	Isolation is a leitmotif that runs throughout her poetry.
C2	prosaic	adjective	art_literature	прозаичный/банальный	Lacking imagination; dull and ordinary.	The prosaic writing style failed to convey the drama of the events.
C2	picaresque	adjective	art_literature	плутовской	Relating to a type of fiction involving a rogue's episodic adventures.	The novel follows a picaresque tradition of a loveable rogue travelling the world.
C2	laconic	adjective	art_literature	лаконичный	Using very few words; brief and concise.	His laconic response was simply 'No', which ended the debate.
C2	immutable	adjective	force_change	неизменный	Unchanging over time or unable to be changed.	The laws of physics are considered immutable.
C2	ossify	verb	force_change	окостеневать/коснеть	To become rigid and unable to change.	Institutions that refuse to adapt risk ossifying and becoming irrelevant.
C2	attenuate	verb	force_change	ослаблять/уменьшать	To reduce the force, effect, or strength of something.	Thick walls help to attenuate the noise from the street.
C2	confound	verb	force_change	смешивать/сбивать с толку	To cause surprise or confusion; to disprove.	Her rapid recovery confounded the doctors who had been pessimistic.
C2	impede	verb	force_change	препятствовать/мешать	To delay or prevent progress.	Lack of funding continued to impede the research.
C2	precipitate	verb	force_change	стремительно вызывать	To cause something, especially something bad, to happen quickly.	The scandal precipitated a constitutional crisis.
C2	subvert	verb	force_change	подрывать/ниспровергать	To undermine or destabilise an established system.	The intent was to subvert the existing social order.
C2	amplify	verb	force_change	усиливать	To increase the strength or effect of something.	Social media amplifies both true information and harmful misinformation.
C2	supplant	verb	force_change	вытеснять	To replace something or someone with something else.	Digital cameras largely supplanted traditional film photography.
C2	attrite	verb	force_change	постепенно истощать	To gradually wear down an opponent's strength or resolve.	The prolonged conflict attrited the enemy's resources.
C2	reify	verb	force_change	реифицировать	To treat an abstract idea as if it were a concrete thing.	The study warned against reifying complex social processes.
C2	fecund	adjective	growth	плодовитый/плодородный	Producing many new ideas or a large amount of produce.	She was one of the most fecund novelists of her generation.
C2	embryonic	adjective	growth	зачаточный/зародышевый	In an early stage of development.	The embryonic technology showed great promise but needed years of further research.
C2	exponential	adjective	growth	экспоненциальный	Increasing or growing very rapidly.	The exponential growth of data has created new challenges for organisations.
C2	propagate	verb	growth	распространять	To spread something widely.	Ideas propagate faster today through social media than ever before.
C2	ramify	verb	growth	разветвляться	To spread into many branches or subdivisions.	The consequences of the decision ramified through every department.
C2	efflorescence	noun	growth	расцвет/пышное развитие	A period of flowering or rapid development and growth.	The Renaissance was a remarkable efflorescence of art and scientific inquiry.
C2	metastasise	verb	growth	метастазировать/разрастаться	To spread destructively to other parts.	The corruption that began at the top metastasised through the whole organisation.
C2	invigorate	verb	growth	воодушевлять/оживлять	To give strength, energy, or vitality to something.	Fresh investment invigorated the failing company.
C2	fructify	verb	growth	давать плоды/приносить пользу	To bear fruit; to produce a useful result.	Years of patient research finally began to fructify in a series of breakthroughs.
C2	augment	verb	growth	увеличивать/дополнять	To add to or increase something to make it larger or better.	She augmented her income by selling artwork online.

C2	solecism	noun	advanced_thinking	солецизм	A grammatical error or a breach of etiquette.	The professor winced at every solecism in the student's presentation.
C2	heuristic	adjective	advanced_thinking	эвристический	Enabling someone to discover or learn something for themselves through trial.	The teacher used a heuristic approach to help students solve problems independently.
C2	dialectical	adjective	advanced_thinking	диалектический	Relating to the process of examining opposing ideas to find the truth.	The debate took on a dialectical quality as each argument was countered.
C2	ineffable	adjective	advanced_descriptions	невыразимый	Too great or extreme to be expressed in words.	The view from the summit was of an ineffable, breathtaking beauty.
C2	incandescent	adjective	advanced_descriptions	ослепительный	Emitting bright light as a result of being heated; also intensely angry.	She was incandescent with rage when she discovered the deception.
C2	mellifluous	adjective	advanced_descriptions	мелодичный	Pleasant and musical to hear; smooth and sweet.	His mellifluous voice made every story sound like a piece of music.
C2	ineffaceable	adjective	advanced_descriptions	неизгладимый	Impossible to remove or forget; making a permanent impression.	The loss left an ineffaceable mark on his spirit.
C2	dissemble	verb	advanced_verbs	притворяться	To conceal or disguise one's true feelings or beliefs.	He dissembled his anxiety behind a calm and confident manner.
C2	fulminate	verb	advanced_verbs	громить	To express vehement protest or condemnation.	The columnist fulminated against the new policy in several articles.
C2	ekphrasis	noun	art_literature	экфрасис	A vivid written description of a visual work of art.	The poem is a remarkable example of ekphrasis, describing the painting in verse.
C2	pathos	noun	art_literature	пафос	A quality in art or literature that arouses feelings of sadness or pity.	The final scene was filled with pathos as the old man said goodbye.
C2	catalyse	verb	growth	катализировать	To make a chemical reaction happen faster, or to cause change.	The new investment catalysed rapid development in the region.
C2	regenerate	verb	growth	регенерировать	To grow again or cause something to grow or develop again.	The stem cell treatment helped regenerate damaged tissue.
C2	transmute	verb	growth	превращать	To change from one form, nature, or substance into another.	Over centuries, attitudes towards disability have been transmuted.
C2	metamorphose	verb	growth	преобразиться	To change completely, especially into something very different.	The rundown district has metamorphosed into a vibrant cultural hub.
C2	anathema	noun	advanced_nouns	анафема	Something or someone strongly disliked or disapproved of.	Any form of compromise was anathema to the hardline faction.
C2	panacea	noun	advanced_nouns	панацея	A solution to all difficulties; a universal remedy.	Technology is often promoted as a panacea for social problems.
C2	spectre	noun	advanced_nouns	призрак	A ghost, or something that causes fear about a future event.	The spectre of unemployment loomed over the struggling town.
C2	quintessence	noun	advanced_nouns	квинтэссенция	The most perfect or typical example of a quality or class.	The cathedral is regarded as the quintessence of Gothic architecture.
C2	intransigent	adjective	character	непримиримый	Refusing to change one's views or to agree to any compromise.	The intransigent negotiator refused every proposal put forward.
C2	pusillanimous	adjective	character	малодушный	Showing a lack of courage or determination; timid.	His pusillanimous response to the crisis disappointed his supporters.
C2	incipient	adjective	force_change	начинающийся	In an early stage; beginning to develop.	Scientists detected incipient signs of erosion along the coastline.
C2	diegesis	noun	art_literature	диегезис	the narrative world in which a story takes place	The diegesis includes all events shown in the film.
C2	metafiction	noun	art_literature	метафикция	fiction that self-consciously draws attention to itself as fiction	Her novel uses metafiction to blur reality and story.
C2	intertextuality	noun	art_literature	интертекстуальность	the relationship between texts that reference each other	The poem is rich with intertextuality.
C2	prolepsis	noun	art_literature	пролепсис	a narrative device that anticipates a future event	The opening scene is a prolepsis of the ending.
C2	usurp	verb	advanced_verbs	узурпировать	to take power or a position without the right to do so	He usurped the throne by force.
C2	efface	verb	advanced_verbs	стирать	to erase or make something disappear completely	Time effaced the memory of the event.
C2	abjure	verb	advanced_verbs	отрекаться	to formally reject or renounce a belief or claim	He abjured his earlier position on the matter.
C2	empiricist	noun	advanced_thinking	эмпирик	a person who believes knowledge comes from experience	Locke was a famous empiricist philosopher.
C2	disintegrate	verb	force_change	распадаться	to break apart or lose cohesion completely	The old alliance began to disintegrate.
C2	cataclysmic	adjective	force_change	катастрофический	causing a sudden and violent upheaval	The earthquake had cataclysmic consequences.
C2	eradicate	verb	force_change	искоренять	to completely destroy or eliminate something	The campaign aimed to eradicate poverty.
C2	venal	adjective	character	продажный	willing to act dishonestly in exchange for money	The venal politician accepted bribes openly.
C2	mendacious	adjective	character	лживый	not telling the truth; lying	His mendacious account fooled everyone at first.
C2	sempiternal	adjective	advanced_descriptions	вечный	lasting forever; eternal	The sempiternal stars guided ancient travellers.
C2	solipsism	noun	advanced_nouns	солипсизм	the view that only one's own mind can be known to exist	His solipsism made empathy impossible.
C2	flourish	verb	growth	процветать	to grow or develop strongly; to be successful	The business flourished under her leadership.
C2	apodeictic	adjective	advanced_thinking	аподиктический	necessarily true; demonstrably certain beyond doubt	His argument was presented as apodeictic truth.
C2	aleatory	adjective	advanced_thinking	случайный	depending on chance or involving random elements	The aleatory structure of the poem mirrors life's unpredictability.
